"","GEOID","NAME","variable","estimate","moe"
"1","19001","Adair County, Iowa","B08103_004",70.1,68.4
"2","19003","Adams County, Iowa","B08103_004",20.3,4.1
"3","19005","Allamakee County, Iowa","B08103_004",NA,NA
"4","19007","Appanoose County, Iowa","B08103_004",22.9,4.6
"5","19009","Audubon County, Iowa","B08103_004",NA,NA
"6","19011","Benton County, Iowa","B08103_004",50.4,30.7
"7","19013","Black Hawk County, Iowa","B08103_004",35.3,4.8
"8","19015","Boone County, Iowa","B08103_004",25.6,8.4
"9","19017","Bremer County, Iowa","B08103_004",39,28.6
"10","19019","Buchanan County, Iowa","B08103_004",32,6.2
"11","19021","Buena Vista County, Iowa","B08103_004",32,22.7
"12","19023","Butler County, Iowa","B08103_004",NA,NA
"13","19025","Calhoun County, Iowa","B08103_004",47.3,36.8
"14","19027","Carroll County, Iowa","B08103_004",51.5,28.6
"15","19029","Cass County, Iowa","B08103_004",36.6,25.9
"16","19031","Cedar County, Iowa","B08103_004",20.9,8.7
"17","19033","Cerro Gordo County, Iowa","B08103_004",24.8,16.2
"18","19035","Cherokee County, Iowa","B08103_004",NA,NA
"19","19037","Chickasaw County, Iowa","B08103_004",NA,NA
"20","19039","Clarke County, Iowa","B08103_004",72.1,48.3
"21","19041","Clay County, Iowa","B08103_004",45.3,26
"22","19043","Clayton County, Iowa","B08103_004",43.3,27.8
"23","19045","Clinton County, Iowa","B08103_004",30,6.2
"24","19047","Crawford County, Iowa","B08103_004",NA,NA
"25","19049","Dallas County, Iowa","B08103_004",47,19
"26","19051","Davis County, Iowa","B08103_004",NA,NA
"27","19053","Decatur County, Iowa","B08103_004",NA,NA
"28","19055","Delaware County, Iowa","B08103_004",37.5,8.5
"29","19057","Des Moines County, Iowa","B08103_004",26.4,12.9
"30","19059","Dickinson County, Iowa","B08103_004",37.2,25.3
"31","19061","Dubuque County, Iowa","B08103_004",32.1,6.5
"32","19063","Emmet County, Iowa","B08103_004",NA,NA
"33","19065","Fayette County, Iowa","B08103_004",33.8,23.7
"34","19067","Floyd County, Iowa","B08103_004",NA,NA
"35","19069","Franklin County, Iowa","B08103_004",38.4,2.1
"36","19071","Fremont County, Iowa","B08103_004",NA,NA
"37","19073","Greene County, Iowa","B08103_004",43.2,17.9
"38","19075","Grundy County, Iowa","B08103_004",56.6,4
"39","19077","Guthrie County, Iowa","B08103_004",68.5,9.6
"40","19079","Hamilton County, Iowa","B08103_004",NA,NA
"41","19081","Hancock County, Iowa","B08103_004",NA,NA
"42","19083","Hardin County, Iowa","B08103_004",NA,NA
"43","19085","Harrison County, Iowa","B08103_004",37.5,33.4
"44","19087","Henry County, Iowa","B08103_004",NA,NA
"45","19089","Howard County, Iowa","B08103_004",52.4,13.6
"46","19091","Humboldt County, Iowa","B08103_004",NA,NA
"47","19093","Ida County, Iowa","B08103_004",NA,NA
"48","19095","Iowa County, Iowa","B08103_004",NA,NA
"49","19097","Jackson County, Iowa","B08103_004",33.4,4.6
"50","19099","Jasper County, Iowa","B08103_004",58.3,13.3
"51","19101","Jefferson County, Iowa","B08103_004",32.5,56.6
"52","19103","Johnson County, Iowa","B08103_004",29.7,1.2
"53","19105","Jones County, Iowa","B08103_004",54.9,6.9
"54","19107","Keokuk County, Iowa","B08103_004",34.5,2
"55","19109","Kossuth County, Iowa","B08103_004",52,27.4
"56","19111","Lee County, Iowa","B08103_004",27.5,29.9
"57","19113","Linn County, Iowa","B08103_004",29.8,5.7
"58","19115","Louisa County, Iowa","B08103_004",NA,NA
"59","19117","Lucas County, Iowa","B08103_004",NA,NA
"60","19119","Lyon County, Iowa","B08103_004",NA,NA
"61","19121","Madison County, Iowa","B08103_004",54.3,22.8
"62","19123","Mahaska County, Iowa","B08103_004",40.6,40.8
"63","19125","Marion County, Iowa","B08103_004",24.9,15.6
"64","19127","Marshall County, Iowa","B08103_004",32.2,8.8
"65","19129","Mills County, Iowa","B08103_004",33.6,17.4
"66","19131","Mitchell County, Iowa","B08103_004",NA,NA
"67","19133","Monona County, Iowa","B08103_004",NA,NA
"68","19135","Monroe County, Iowa","B08103_004",NA,NA
"69","19137","Montgomery County, Iowa","B08103_004",28,14
"70","19139","Muscatine County, Iowa","B08103_004",41.7,16
"71","19141","O'Brien County, Iowa","B08103_004",30.7,23.9
"72","19143","Osceola County, Iowa","B08103_004",47.4,5.6
"73","19145","Page County, Iowa","B08103_004",NA,NA
"74","19147","Palo Alto County, Iowa","B08103_004",NA,NA
"75","19149","Plymouth County, Iowa","B08103_004",41.4,4.3
"76","19151","Pocahontas County, Iowa","B08103_004",NA,NA
"77","19153","Polk County, Iowa","B08103_004",37.6,2.5
"78","19155","Pottawattamie County, Iowa","B08103_004",29.6,8
"79","19157","Poweshiek County, Iowa","B08103_004",NA,NA
"80","19159","Ringgold County, Iowa","B08103_004",NA,NA
"81","19161","Sac County, Iowa","B08103_004",NA,NA
"82","19163","Scott County, Iowa","B08103_004",45.2,6
"83","19165","Shelby County, Iowa","B08103_004",NA,NA
"84","19167","Sioux County, Iowa","B08103_004",51.3,34.4
"85","19169","Story County, Iowa","B08103_004",24.8,1.2
"86","19171","Tama County, Iowa","B08103_004",NA,NA
"87","19173","Taylor County, Iowa","B08103_004",23.1,1.8
"88","19175","Union County, Iowa","B08103_004",25.9,1
"89","19177","Van Buren County, Iowa","B08103_004",43.2,27.5
"90","19179","Wapello County, Iowa","B08103_004",52,20.2
"91","19181","Warren County, Iowa","B08103_004",63.2,36.1
"92","19183","Washington County, Iowa","B08103_004",36.8,9.6
"93","19185","Wayne County, Iowa","B08103_004",42.2,24
"94","19187","Webster County, Iowa","B08103_004",61.4,21.8
"95","19189","Winnebago County, Iowa","B08103_004",43.5,31.1
"96","19191","Winneshiek County, Iowa","B08103_004",NA,NA
"97","19193","Woodbury County, Iowa","B08103_004",47.4,7
"98","19195","Worth County, Iowa","B08103_004",NA,NA
"99","19197","Wright County, Iowa","B08103_004",NA,NA
